-17,-7,1,-75,-60,106,-115,110,9,11,15,-0.48291,0.260742,0.914062,-2.875,-0.6875,-0.4375
-9,-11,-8,-5,-28,-21,-71,121,9,11,15,-0.48584,0.267578,0.904297,0.1875,-0.375,-0.125
7,7,2,28,36,-101,-38,88,9,11,15,-0.48584,0.285156,0.917969,-0.8125,-0.25,0.125
-6,-1,-13,1,18,-10,-23,-12,9,11,15,-0.483398,0.268555,0.911621,-2,-0.8125,0.125
52,10,-9,5,-22,-62,-35,-27,9,11,15,-0.483398,0.276367,0.922363,-0.375,0.5625,0.4375
-32,-10,-11,22,-3,-40,57,-61,9,11,15,-0.482422,0.272461,0.912109,-2.5625,0,0.5625
8,6,-1,-28,-48,-6,-42,-101,9,11,15,-0.467773,0.263184,0.904785,-0.6875,0.9375,0.3125
-25,-7,-10,-13,-11,28,-24,48,9,11,15,-0.491211,0.293945,0.90918,-2.1875,1.0625,-1.3125
-16,-3,-6,-22,-85,52,32,82,9,11,15,-0.484863,0.262207,0.905273,-3.875,1.3125,-0.875
43,-1,-10,-6,25,-102,-25,-59,9,11,15,-0.473633,0.258301,0.904785,-2.9375,0.125,-0.375
-79,-8,-9,-40,-4,-27,-10,57,9,11,15,-0.479004,0.272461,0.907715,-0.75,1.625,-1.6875
82,-9,-10,-39,-68,-56,-68,9,9,11,15,-0.488281,0.268066,0.910645,-1.125,0.9375,-1.4375
72,10,10,30,37,22,-37,-100,9,11,15,-0.471191,0.250488,0.898438,-2.625,-0.125,-1.0625
20,-5,5,-23,-12,-74,16,-92,9,11,15,-0.478516,0.26123,0.904297,-0.0625,0,-0.3125
-3,11,12,66,88,63,-42,30,9,11,15,-0.491699,0.266602,0.918457,-0.5625,-0.3125,-0.375
-3,7,18,3,-1,-8,-18,6,9,11,15,-0.466309,0.255859,0.907715,-1.25,-0.5,0.375
95,2,-6,-26,-28,-41,22,-75,9,11,15,-0.477051,0.263184,0.912598,-0.0625,0.1875,-0.125
34,-8,-8,-20,8,18,-66,-4,9,11,15,-0.490723,0.282715,0.911133,-1.0625,1.125,-1.25
-6,6,-2,-15,35,65,-51,10,9,11,15,-0.490234,0.256836,0.912598,-1.3125,-0.6875,0.3125
80,1,1,32,14,-35,-16,23,9,11,15,-0.484863,0.267578,0.904297,-1.875,0.5625,-1.1875
-39,3,13,-27,24,94,-22,47,9,11,15,-0.486816,0.250977,0.916992,1.875,0.5625,-1.5
-16,-11,-26,24,33,-78,-12,109,9,11,15,-0.508789,0.278809,0.923828,1.3125,0.4375,0.3125
1,-15,-25,-9,2,-11,2,117,9,11,15,-0.470703,0.244141,0.897949,0.125,-0.5,1
-79,1,-6,4,80,53,-21,-70,9,11,15,-0.48877,0.263184,0.916992,-0.1875,1.5,0.0625
6,-9,-18,-21,-24,92,26,26,9,11,15,-0.48291,0.262207,0.90332,-0.1875,0.625,-0.375
-1,-7,5,-22,-77,10,-113,38,9,11,15,-0.480957,0.252441,0.910645,-1.4375,0.8125,-0.6875
13,-6,9,-23,62,7,-31,-25,9,11,15,-0.491699,0.256836,0.905273,-0.875,0.625,-1
6,7,1,28,44,40,93,-95,9,11,15,-0.476562,0.265137,0.897949,-1.375,-0.4375,-1.6875
-17,7,14,30,10,-14,83,61,9,11,15,-0.489258,0.251465,0.911621,-2.625,0.5,-1.6875
9,4,5,43,20,-73,-72,-78,9,11,15,-0.496094,0.255859,0.910645,-0.5625,-0.5625,-1.1875
36,-13,-24,-60,-76,-7,42,-12,9,11,15,-0.481934,0.246094,0.903809,-0.4375,-0.1875,-0.1875
-10,-13,-19,-19,50,31,-11,-120,9,11,15,-0.495605,0.270996,0.913086,-0.8125,-0.8125,-0.9375
-88,15,0,30,91,84,12,27,9,11,15,-0.475586,0.268555,0.910645,2.1875,-0.625,-1.9375
-11,-6,11,9,-68,70,32,104,9,11,15,-0.486816,0.244629,0.919434,-3.3125,0.4375,-0.875
-48,-3,10,2,55,125,76,74,9,11,15,-0.489746,0.259766,0.904297,2.375,0.375,-0.4375
-8,8,-17,-58,-17,-47,-76,93,9,11,15,-0.476562,0.257812,0.906738,1.8125,0.4375,-1.375
23,7,14,-38,-22,-37,-26,-53,9,11,15,-0.5,0.254395,0.914551,-2.25,1.0625,-0.5625
91,-2,5,-2,-33,61,39,-103,9,11,15,-0.479004,0.250488,0.906738,0.8125,1.125,-1.25
