0,-1,-2,-3,-16,12,3,12,12,8,14,0.0727539,1.0459,0.197754,0.9375,0.5625,0.4375
-9,-1,0,-10,42,-20,-6,5,12,8,14,0.0708008,1.05273,0.200684,-5.1875,-0.0625,0.6875
-17,-44,-2,-4,-12,-3,1,-3,12,8,14,0.0400391,1.12012,0.233887,-17.0625,-3.4375,0
-3,6,0,-3,-12,0,10,12,12,8,14,0.0961914,1.08203,0.19873,-54.4375,-2.875,3.5625
65,-7,-4,1,10,6,2,1,12,8,14,0.0864258,0.987305,0.327148,-56.625,-0.625,0.625
6,21,0,-2,32,-10,17,7,12,8,14,0.112793,0.980957,0.318359,-48.75,-1.25,-2.375
7,5,-3,-5,-57,-24,-2,0,12,8,14,0.0756836,1.03076,0.294434,-57.1875,-1,-2.0625
9,0,3,9,34,18,4,1,12,8,14,0.105957,0.914062,0.376465,-63.375,-2.9375,-3.625
-27,-3,-1,-6,-75,21,-9,1,12,8,14,0.0947266,0.922363,0.384277,-45.8125,-2.5,-4.5
-31,0,2,0,3,16,5,0,12,8,14,0.0776367,0.937012,0.398926,-42.6875,-2.125,-5
1,6,4,0,52,-42,-1,-11,12,8,14,0.0864258,0.907715,0.397461,-41.5,-2.875,-4.125
12,9,-1,-3,-85,-22,3,0,12,8,14,0.0830078,0.911133,0.441895,-42.625,-3.625,-5
36,11,1,1,62,72,-31,1,12,8,14,0.090332,0.882812,0.435547,-46.3125,-4.6875,-3.875
-4,1,1,0,39,28,-3,-3,11,8,14,0.0976562,0.822754,0.494629,-51.625,-3.875,-5.5
-15,-8,0,-3,17,24,-11,-4,11,8,14,0.0947266,0.804199,0.516602,-41.375,-2.875,-6.125
8,-2,-2,-9,-36,-32,3,0,11,8,14,0.0766602,0.865723,0.508301,-46,-6.625,-4.875
7,12,0,3,73,12,12,-1,11,8,14,0.0976562,0.760254,0.552246,-48.9375,-7.375,-2.75
-3,-2,1,3,-19,-4,-2,1,11,8,14,0.0893555,0.79248,0.560547,-40.8125,-6.375,-4
-15,0,-2,-4,-52,-23,-3,-2,11,8,14,0.0839844,0.74707,0.592285,-39.6875,-5.375,-3.0625
