-1,1,-1,-46,-10,-12,-8,7,11,7,7,0.232422,0.638184,0.600098,2.375,-6.4375,-0.3125
4,-1,-5,26,1,-7,23,1,11,7,7,0.239258,0.630859,0.603027,-0.75,-3.625,0.625
0,-4,-8,-30,41,-3,0,4,11,7,7,0.246582,0.638672,0.59668,0.4375,-3.1875,-0.375
0,-2,-11,-31,-47,5,7,21,11,7,7,0.23584,0.633301,0.600586,-0.0625,-3.125,-0.25
5,26,25,30,62,-3,0,-3,11,7,7,0.23877,0.648926,0.596191,-0.5,-2.75,0.25
-1,4,17,6,53,-17,-6,-12,11,7,7,0.230957,0.617676,0.587891,4.5,-3,0.8125
2,-5,11,13,15,28,2,-20,11,7,7,0.23877,0.639648,0.575684,3.5625,-2.875,1.125
-5,-14,-4,10,29,39,9,-14,11,7,7,0.257812,0.64502,0.591797,4.9375,-2.125,-0.4375
-1,5,-8,5,-60,-9,-6,12,11,7,7,0.230469,0.657227,0.573242,6.5625,-2.5625,-2.375
-1,-2,-6,-40,-28,16,2,-3,11,7,7,0.233887,0.641602,0.605469,3.3125,-4.0625,0.6875
4,4,8,-9,72,-18,-1,30,11,7,7,0.254883,0.65332,0.603516,6.375,-0.5625,0.6875
-4,6,16,24,1,-44,2,24,11,7,7,0.226562,0.655762,0.584961,1,-3.75,-2.4375
5,4,-10,-51,-33,-3,0,32,11,7,7,0.239746,0.623535,0.598145,0.375,-3.5625,1.4375
2,-2,0,29,-64,-1,1,19,11,7,7,0.259766,0.691406,0.601074,2.9375,-1.75,-2.625
-5,0,-6,3,27,22,4,3,11,7,7,0.211914,0.630859,0.592773,-1.0625,-5.6875,-1.625
-5,-1,1,3,-4,-1,3,13,11,7,7,0.229492,0.659668,0.584961,2,-4.5,-0.8125
-2,2,-11,4,29,-9,5,9,11,7,7,0.23877,0.668945,0.584473,0.9375,-4.75,-1.5
1,0,-3,-9,-7,-19,-4,-1,11,7,7,0.216797,0.633301,0.571289,2.125,-7.0625,-0.125
1,-3,-1,-42,14,-3,-1,38,11,7,7,0.227539,0.666992,0.592773,-0.5625,-3.3125,-1.75
-2,-4,-1,75,12,25,1,8,11,7,7,0.222656,0.636719,0.576172,2.8125,-5.1875,-0.125
-3,3,4,11,0,12,2,-3,11,7,7,0.238281,0.661621,0.59668,-3.9375,-5.5,-0.9375
2,3,18,-15,-10,11,0,-10,11,7,7,0.235352,0.651367,0.600098,-1.75,-4.25,-1.8125
-1,0,-1,-18,-29,-29,-12,1,11,7,7,0.226562,0.666992,0.602539,0.25,-3.8125,-1.5625
8,1,14,19,13,-1,2,-2,11,7,7,0.233887,0.661133,0.588867,1.875,-5.0625,-0.6875
-3,-4,-10,6,13,12,5,-9,11,7,7,0.230957,0.643066,0.600586,-1.25,-4.1875,-1.9375
-5,-1,5,2,-8,-35,-5,1,11,7,7,0.222656,0.627441,0.583984,1.875,-4.75,-1
6,6,7,-22,-59,-4,8,-3,11,7,7,0.237793,0.662598,0.581543,1.75,-5.1875,-1.1875
-2,6,4,-10,-13,-21,-8,-28,11,7,7,0.240234,0.656738,0.576172,3.75,-3.9375,0
4,-3,-4,-4,-46,-22,-8,-10,11,7,7,0.225098,0.666016,0.583008,-0.6875,-1.4375,-1
-3,-1,-8,-5,7,19,-2,9,11,7,7,0.211426,0.652832,0.591797,1.75,-3.5,-1.625
-1,-6,2,-7,22,12,-5,-5,11,7,7,0.228516,0.647461,0.577148,1.6875,-2.6875,-0.0625
-1,-2,5,15,-16,20,-6,-57,11,7,7,0.236816,0.660156,0.587402,-1.4375,-3.4375,0.375
3,-1,-1,-31,-83,-17,-2,15,11,7,7,0.222168,0.639648,0.581055,0,-4,-0.5625
1,3,7,2,17,36,1,-16,11,7,7,0.224121,0.664062,0.586914,1.125,-3.9375,0.1875
8,7,9,-43,26,24,5,3,11,7,7,0.220215,0.665527,0.589355,1.8125,-3.375,-0.1875
5,2,3,3,-11,21,0,4,11,7,7,0.218262,0.668945,0.570801,2.0625,-3.875,-1.25
-3,3,-10,-8,31,18,-2,-15,11,7,7,0.220215,0.654297,0.574219,1.8125,-4.1875,0
0,-1,-1,-18,11,10,1,-5,11,7,7,0.238281,0.65918,0.579102,1.625,-2.6875,-0.6875
-3,-4,3,7,11,9,2,-18,11,7,7,0.21582,0.671387,0.58252,0.4375,-4.8125,-1.4375
-5,3,14,42,-51,47,5,-26,11,7,7,0.216797,0.648438,0.587402,4.0625,-4.3125,0.8125
-1,-2,11,-1,-12,5,9,-9,11,7,7,0.229004,0.67041,0.583008,5.1875,-3.875,0.25
-5,-1,5,-16,-29,-19,-1,-34,11,7,7,0.237793,0.6875,0.577637,4.25,-3.4375,-0.6875
3,8,10,8,22,47,1,-3,11,7,7,0.216797,0.656738,0.57959,1.25,-4.25,-1.25
-4,-3,-2,15,24,-3,-8,-22,11,7,7,0.232422,0.664551,0.570312,4.875,-4.3125,-1.1875
1,-4,-24,-56,9,82,-6,-27,11,7,7,0.217285,0.672363,0.566895,2.75,-3.75,-1.125
-12,-1,6,4,-6,-10,5,-3,11,7,7,0.210449,0.665039,0.581543,1.8125,-4.125,-0.8125
-4,-2,6,31,43,-20,-12,11,11,7,7,0.222168,0.670898,0.577148,4.0625,-4.75,-0.9375
3,1,5,-9,-6,-49,5,29,11,7,7,0.21582,0.685059,0.567383,0.25,-4.5625,-2.3125
0,-5,-4,-5,3,27,6,3,11,7,7,0.21875,0.665527,0.575195,4.625,-4.5625,-1.25
0,3,7,-10,-82,41,15,-6,11,7,7,0.220215,0.692871,0.572754,3.75,-3.1875,-2
0,-3,-22,-4,25,6,-5,-13,11,7,7,0.207031,0.658691,0.566895,1.1875,-5.25,-2.1875
-7,-9,-16,-11,13,-59,-14,-18,11,7,7,0.220703,0.668945,0.568848,3.5625,-4.875,-1.75
3,-5,-3,-6,-15,18,-1,-11,11,7,7,0.220215,0.693359,0.570801,2.1875,-3.1875,-2.3125
14,-3,-29,1,33,22,23,30,11,7,7,0.203613,0.68457,0.568359,-0.9375,-2.6875,-2.1875
9,6,-29,-2,-65,-51,-32,-42,11,7,7,0.213867,0.667969,0.571289,2.75,-3.375,-1.1875
1,14,4,4,2,-33,0,-1,11,7,7,0.228027,0.692383,0.558594,0.6875,-4.125,-0.5625
