0,1,0,8,0,0,0,0,11,8,0,0.109863,0.683594,0.581055,0.5,0.0625,-0.9375
-5,-1,-2,-20,1,-1,-2,-1,11,8,0,0.119629,0.683105,0.585449,-3.125,-0.5625,0.1875
-1,-1,2,15,1,-1,0,0,11,8,0,0.126953,0.692383,0.580566,1.6875,-0.6875,0.75
2,1,0,9,2,0,0,0,11,8,0,0.116211,0.6875,0.571289,0.3125,-1.5,0.625
-1,0,-3,-8,-4,1,0,0,11,8,0,0.125977,0.681152,0.583984,-1.0625,-0.5625,1.125
-2,-1,5,48,2,-1,0,-4,11,8,0,0.112305,0.69043,0.585938,-1.875,0.1875,0.3125
-1,-3,-5,-17,-2,-1,0,-2,11,8,0,0.127441,0.699707,0.580566,0.5625,-0.75,1.375
-2,-3,-1,9,-1,-1,-2,-1,11,8,0,0.108398,0.693359,0.588379,-2.3125,0.5625,-0.375
-2,-3,6,40,7,2,0,0,11,8,0,0.121582,0.681152,0.591797,1.3125,1.0625,1.625
-2,-2,1,34,3,0,1,-2,11,8,0,0.12207,0.699707,0.579102,3.0625,-0.375,1.1875
-1,-3,0,19,7,0,1,0,11,8,0,0.119629,0.680176,0.592773,-5.125,2.1875,0
-1,-3,-5,-10,-10,-4,-3,-3,11,8,0,0.121094,0.684082,0.576172,0.625,-0.875,0.125
-2,-3,-6,8,-2,0,0,-1,11,8,0,0.117188,0.688965,0.585449,-0.875,1.1875,1.375
-2,-2,3,-28,-3,-2,0,-2,11,8,0,0.130859,0.693359,0.585938,-1.4375,0.5625,0.0625
-2,0,1,-19,-3,0,0,-1,11,8,0,0.119629,0.697266,0.589355,-2.4375,-0.0625,-0.8125
-1,-5,-10,6,-9,-6,-3,-1,11,8,0,0.116211,0.693848,0.588867,-2.9375,0.5625,-1.25
0,1,3,38,4,1,0,-4,11,8,0,0.121094,0.682129,0.592773,-2.0625,0.4375,-0.6875
-3,-1,2,10,4,1,-1,-2,11,8,0,0.120117,0.69873,0.58252,-1.1875,1,-0.25
-1,-2,-4,17,-5,-1,-1,-1,11,8,0,0.119629,0.693848,0.581543,-3.375,0.75,-0.375
-2,-3,-6,-38,-6,1,0,-1,11,8,0,0.112305,0.676758,0.587891,-2.75,2.0625,-2.0625
0,-1,2,20,7,1,1,-1,11,8,0,0.113281,0.677246,0.583008,-0.875,1.125,-1.8125
-1,0,4,2,-3,-2,-1,-4,11,8,0,0.117188,0.681641,0.57959,-3.6875,-0.25,0
0,-1,-7,0,-2,1,1,1,11,8,0,0.111816,0.672852,0.591797,-0.5,1.8125,0.375
-1,-4,-5,10,1,-1,1,-2,11,8,0,0.106934,0.682129,0.584473,1.375,0.6875,1.375
-1,-1,-1,7,1,-2,-1,1,11,8,0,0.121094,0.693359,0.59082,-2.3125,-0.625,0.6875
-2,-3,4,31,2,-1,0,-2,11,8,0,0.11377,0.67334,0.601074,-2.5,0.875,-0.125
-1,-2,1,-8,7,1,-1,0,11,8,0,0.121094,0.708496,0.581055,1.75,0,0.4375
0,-3,0,-18,-8,-2,-1,0,11,8,0,0.103516,0.678223,0.608887,-2.5625,0.375,-1
0,1,1,7,3,0,0,-2,11,8,0,0.105469,0.674316,0.588867,-3.1875,0.125,-1.125
0,6,7,5,4,1,0,1,11,8,0,0.109863,0.665527,0.586914,-3.625,0.5625,-0.9375
0,2,-2,-25,-4,0,0,0,11,8,0,0.105957,0.666992,0.603516,-1.9375,0.25,-0.4375
0,1,1,-19,-4,-1,-1,-1,11,8,0,0.107422,0.685547,0.600098,-0.9375,-0.25,-1
-2,-2,-3,4,0,-1,0,0,11,8,0,0.112305,0.667969,0.591797,-2.125,-0.875,-0.6875
-2,0,0,9,-1,0,0,2,11,8,0,0.120605,0.679688,0.593262,-0.625,-0.875,0.125
0,0,-3,8,2,2,-1,1,11,8,0,0.119629,0.681152,0.586914,-0.25,-0.375,-0.125
0,2,5,-10,-1,0,1,1,11,8,0,0.11084,0.678711,0.597656,0.6875,-1.125,0
0,1,2,-10,1,3,1,0,11,8,0,0.110352,0.684082,0.600586,0.875,-1.375,-0.4375
-2,1,1,-4,2,-1,0,1,11,8,0,0.121582,0.682617,0.595215,0.625,-0.6875,1.125
-2,-2,0,6,6,-1,0,0,11,8,0,0.119141,0.676758,0.596191,0.75,0.25,-0.375
-1,-2,-7,-20,-7,-1,-1,0,11,8,0,0.123047,0.686035,0.595215,-0.4375,1.25,0
0,3,3,11,1,1,0,0,11,8,0,0.117676,0.664062,0.605957,-2.3125,1.125,1.3125
-2,-2,-1,-8,0,1,1,-2,11,8,0,0.120605,0.70166,0.591797,-0.75,-0.6875,-0.6875
2,-1,-8,-32,-1,-2,-1,1,11,8,0,0.108887,0.681641,0.592285,-1.0625,1,-0.375
-1,-2,-8,-46,-3,0,0,-1,11,8,0,0.114258,0.668945,0.600586,0,0.5625,0.0625
-1,-4,4,34,3,-3,-1,-2,11,8,0,0.114258,0.680664,0.59375,0.25,0.3125,0.0625
1,0,-3,21,-1,-2,0,1,11,8,0,0.105469,0.668945,0.598145,-2.8125,0.625,0.1875
0,-2,-2,-48,-5,-1,-1,-3,11,8,0,0.111328,0.678223,0.591797,1.125,-0.3125,1.5625
2,1,-3,8,1,0,-2,0,11,8,0,0.120605,0.685547,0.59375,-1.3125,0.1875,0.8125
0,3,3,-12,-5,-1,0,0,11,8,0,0.120117,0.686523,0.604492,1.0625,-0.3125,-0.75
-1,-1,-1,-17,-4,-1,-1,0,11,8,0,0.111816,0.68457,0.601562,-1.6875,0.1875,-1
-1,-2,-3,-1,-9,0,-1,0,11,8,0,0.11084,0.675293,0.598633,-1.1875,-0.6875,0.3125
4,1,-2,-29,2,0,-2,0,11,8,0,0.115723,0.670898,0.591797,-0.125,0,-0.6875
1,4,7,18,5,0,-1,-2,11,8,0,0.11377,0.671387,0.602539,-2,0.875,0.5625
-3,-3,8,62,14,-2,-1,-2,11,8,0,0.125,0.685547,0.601074,0.25,1,-0.25
1,1,-3,-5,6,2,0,0,11,8,0,0.113281,0.688965,0.592773,-0.875,0.0625,-1.25
-3,0,0,14,1,-1,1,-1,11,8,0,0.109375,0.674805,0.599121,-0.6875,0.3125,-0.6875
1,4,-1,-42,-4,2,0,1,11,8,0,0.114746,0.68457,0.599609,-0.875,0.9375,-0.5625
-2,-1,-3,-5,-4,0,1,-1,11,8,0,0.108398,0.669922,0.595215,-0.625,0.5,-0.25
1,0,-4,6,2,0,-2,0,11,8,0,0.114258,0.675293,0.598145,-1.5625,0.625,0
1,0,-3,-27,-4,0,0,0,11,8,0,0.10791,0.678711,0.601074,-0.5625,0.4375,-0.1875
-2,-1,-6,-10,-4,0,0,-1,11,8,0,0.103027,0.660645,0.605957,-1.125,-0.125,-0.25
